date	index
6.8.2020	328.88
7.8.2020	328.53
10.8.2020	328.11
11.8.2020	326.77
12.8.2020	328.49
13.8.2020	327.53
14.8.2020	326.67
17.8.2020	326.51
18.8.2020	325.96
19.8.2020	326.21
20.8.2020	328.94
21.8.2020	330.67
24.8.2020	333.44
25.8.2020	333.87
26.8.2020	338.94
27.8.2020	339.20
28.8.2020	338.70
31.8.2020	336.01
1.9.2020	338.59
2.9.2020	346.89
3.9.2020	336.04
4.9.2020	332.02
7.9.2020	331.90
8.9.2020	325.85
9.9.2020	331.44
10.9.2020	326.22
11.9.2020	326.61
14.9.2020	330.20
15.9.2020	332.51
16.9.2020	331.84
17.9.2020	329.55
18.9.2020	326.59
21.9.2020	327.00
22.9.2020	330.59
23.9.2020	325.28
24.9.2020	325.03
25.9.2020	330.65
28.9.2020	335.90
29.9.2020	333.33
30.9.2020	333.78
1.10.2020	336.44
2.10.2020	333.32
5.10.2020	336.70
6.10.2020	333.98
7.10.2020	339.44
8.10.2020	342.98
9.10.2020	344.29
12.10.2020	347.85
13.10.2020	350.12
14.10.2020	346.83
15.10.2020	346.14
16.10.2020	345.29
19.10.2020	340.26
20.10.2020	339.18
21.10.2020	337.16
22.10.2020	338.04
23.10.2020	338.76
26.10.2020	331.73
27.10.2020	330.32
28.10.2020	321.43
29.10.2020	324.78
30.10.2020	318.88
2.11.2020	321.58
3.11.2020	325.78
4.11.2020	333.55
5.11.2020	338.76
6.11.2020	340.10
9.11.2020	344.07
10.11.2020	340.46
11.11.2020	346.60
12.11.2020	342.57
13.11.2020	345.75
16.11.2020	348.92
17.11.2020	348.29
18.11.2020	346.92
19.11.2020	350.54
20.11.2020	349.01
23.11.2020	353.22
24.11.2020	355.87
25.11.2020	355.76
26.11.2020	356.20
27.11.2020	356.37
30.11.2020	355.54
1.12.2020	356.09
2.12.2020	356.63
3.12.2020	354.98
4.12.2020	359.12
7.12.2020	359.78
8.12.2020	361.27
9.12.2020	360.08
10.12.2020	360.35
11.12.2020	361.24
14.12.2020	361.58
15.12.2020	363.83
16.12.2020	365.34
17.12.2020	367.83
18.12.2020	368.97
21.12.2020	367.46
22.12.2020	370.24
23.12.2020	370.59
28.12.2020	370.75
29.12.2020	369.30
30.12.2020	368.29
31.12.2020	371.20
4.1.2021	366.95
5.1.2021	369.20
6.1.2021	368.53
7.1.2021	375.57
8.1.2021	379.44
11.1.2021	381.16
12.1.2021	382.14
13.1.2021	381.28
14.1.2021	381.83
15.1.2021	379.30
18.1.2021	378.95
19.1.2021	380.86
20.1.2021	386.13
21.1.2021	385.20
22.1.2021	383.40
25.1.2021	384.05
26.1.2021	382.03
27.1.2021	377.10
28.1.2021	378.65
29.1.2021	371.18
1.2.2021	380.16
2.2.2021	388.96
3.2.2021	389.31
4.2.2021	394.51
5.2.2021	395.34
8.2.2021	398.67
9.2.2021	399.26
10.2.2021	398.93
11.2.2021	400.49
12.2.2021	403.41
15.2.2021	403.47
16.2.2021	403.35
17.2.2021	403.03
18.2.2021	399.47
19.2.2021	399.81
22.2.2021	393.30
23.2.2021	391.48
24.2.2021	394.64
25.2.2021	383.34
26.2.2021	383.04
1.3.2021	394.94
2.3.2021	391.03
3.3.2021	385.40
4.3.2021	378.24
5.3.2021	385.12
8.3.2021	382.54
9.3.2021	389.65
10.3.2021	392.03
11.3.2021	397.10
12.3.2021	397.49
15.3.2021	402.21
16.3.2021	402.31
17.3.2021	402.13
18.3.2021	395.22
19.3.2021	395.40
22.3.2021	397.67
